year,mcaid_child_target_recipients,mcaid_adult_target_recipients,mcaid_senior_target_recipients,mcaid_disabled_target_recipients,snap_allhhd_target_recipients,ssi_child_target_recipients,ssi_adult_target_recipients,ssi_senior_target_recipients
1980,9868367,5001718,2557807,2617108,8979325,191329,1962372,2466935
1981,9825656,5177298,2467146,2690400,10260934,205452,1967253,2439538
1982,9895772,5402397,2312212,2725620,11143790,210304,1935483,2330032
1983,9756833,5527775,2208862,2569780,10495579,206721,1881363,2208813
1984,9635164,5628721,2173067,2559799,10119960,214008,1931936,2200749
1985,9811776,5641315,2058691,2601718,9632417,228321,2023641,2237974
1986,10041663,5671767,1968063,2749757,9321024,245368,2135832,2231583
1987,10322768,5778149,2046650,2941683,9078340,260274,2285054,2216269
1988,10468019,5754045,2090821,3141865,8737275,270746,2408092,2213917
1989,10437102,5732232,2007439,3258477,8852188,275314,2503569,2203627
1990,10926992,5992313,2029706,3390740,9269991,285840,2616332,2225842
1991,12135039,6451643,2129731,3609587,10082471,332995,2784513,2261432
1992,13892554,7016122,2267524,3933800,11503584,428573,3002313,2284657
1993,15814956,7312592,2503990,4362963,12881970,600481,3307477,2306539
1994,16893335,7695374,2609374,4879667,13640858,779834,3578435,2321408
1995,17667801,7800828,2759425,5341196,13346077,908026,3790797,2327799
1996,17838031,7824039,2954574,5845606,12807731,989577,3957876,2323156
1997,17403393,7429514,3102414,6161429,12459125,1030718,4055778,2296046
1998,17710295,7553079,2917838,6295288,10801213,949413,4048085,2255819
1999,21347404,8379932,2925008,6765099,9557335,957224,4144007,2233246
2000,23124737,8538741,2892020,7007327,9098181,914057,4195097,2217447
2001,25583938,9850303,2894643,7227809,8917850,913756,4255395,2208966
2002,28251746,11052496,2981776,7447841,9313905,951580,4332082,2191696
2003,30931101,12241561,3052270,7632487,10205040,987174,4407390,2191834
2004,33144325,12747904,3264957,7925690,11488504,1014331,4249282,2095897
2005,34992267,13336920,3534283,8256171,12677070,1095705,4576320,2193237
2006,36124406,13683032,3643256,8570216,13619222,1132751,4654089,2196832
2007,36695315,13557103,3511731,8606032,13729068,1161137,4712198,2202000
2008,37203647,13613077,3317009,8808824,13973946,1192127,4804898,2210755
2009,38506911,14501525,3449091,9149872,15555685,1233315,4947475,2227031
2010,40469381,15908056,3500794,9436185,18973095,1283222,5123603,2241994
2011,42024000,16938548,3584249,9752944,22430395,1360159,5528248,2288119
2012,43875393,17723778,3603314,10055361,24453616,1396189,5606571,2304142
2013,44984154,18144438,3660509,10357778,25577443,1399975,5497414,2281833
2014,46032175,17443339,3698640,10206570,25599595,1410853,5547990,2308397
2015,42258243,28530933,4344880,9473571,25704754,1401244,5523419,2334562
2016,44692361,34176531,4525764,9465435,25564182,1388593,5471341,2351275
2017,46074032,35858574,4685371,9347327,24583218,1353445,5432951,2391403
2018,46805793,36049003,4826610,9196414,23558415,1309604,5380573,2436030
2019,46407053,35825471,4914861,9103283,22665748,1270101,5280770,2470490
2020,45630468,34805439,4891120,9428824,20551431,1237700,5191718,2501614
